wrist	cổ tay
successful	thành công, thắng lợi, thành đạt
successfully	thành công, thắng lợi, thành đạt
unsuccessful	không thành công, thất bại
such	như thế, như vậy, như là
such as	đến nỗi, đến mức
suck	bú, hút; hấp thụ, tiếp thu
sudden	thình lình, đột ngột
suddenly	thình lình, đột ngột
suffer	chịu đựng, chịu thiệt hại, đau khổ
suffering	sự đau đớn, sự đau khổ
sufficient	đủ, thích đáng
sufficiently	đủ, thích đáng
sugar	đường
suggest	đề nghị, đề xuất; gợi
suggestion	sự đề nghị, sự đề xuất, sự khêu gợi
suit	bộ com lê, trang phục; thích hợp, quen, hợp với
suited	hợp, phù hợp, thích hợp với
suitable	hợp, phù hợp, thích hợp với
suitcase	va li
sum	tổng, toàn bộ
summary	bản tóm tắt
summer	mùa hè
sun	mặt trời
Sunday	Chủ nhật
superior	cao, chất lượng cao
supermarket	siêu thị
supply	sự cung cấp, nguồn cung cấp; cung cấp, đáp ứng, tiếp tế
support	sự chống đỡ, sự ủng hộ; chống đỡ, ủng hộ
supporter	vật chống đỡ; người cổ vũ, người ủng hộ
suppose	cho rằng, tin rằng, nghĩ rằng
sure	chắc chắn, xác thực
make sure	chắc chắn, làm cho chắc chắn
surely	chắc chắn
surface	mặt, bề mặt
surname	họ
surprise	sự ngạc nhiên, sự bất ngờ; làm ngạc nhiên, gây bất ngờ
surprising	làm ngạc nhiên, làm bất ngờ
surprisingly	làm ngạc nhiên, làm bất ngờ
surprised	ngạc nhiên (+ at)
surround	vây quanh, bao quanh
surrounding	sự vây quanh, sự bao quanh
surroundings	vùng xung quanh, môi trường xung quanh
survey	sự nhìn chung, sự khảo sát; quan sát, nhìn chung, khảo sát, nghiên cứu
survive	sống lâu hơn, tiếp tục sống, sống sót
suspect	nghi ngờ, hoài nghi; người khả nghi, người bị tình nghi
suspicion	sự nghi ngờ, sự ngờ vực
suspicious	có sự nghi ngờ, tỏ ra nghi ngờ, khả nghi
swallow	nuốt, nuốt chửng
report	báo cáo, tường trình; bản báo cáo, bản tường trình
represent	miêu tả, hình dung; đại diện, thay mặt
representative	điều tiêu biểu, tượng trưng, mẫu; miêu tả, biểu hiện, đại diện, tượng trưng
reproduce	tái sản xuất
reputation	sự nổi tiếng, nổi danh
request	lời thỉnh cầu, lời đề nghị, yêu cầu; thỉnh cầu, đề nghị, yêu cầu
require	đòi hỏi, yêu cầu, quy định
requirement	nhu cầu, sự đòi hỏi; luật lệ, thủ tục
rescue	giải thoát, cứu nguy; sự giải thoát, sự cứu nguy
research	sự nghiên cứu
reservation	sự hạn chế, điều kiện hạn chế
reserve	dự trữ, để dành, đặt trước, đăng ký trước; sự dự trữ, sự để dành, sự đặt trước, sự đăng ký trước
resident	người sinh sống, trú ngụ, khách trọ; có nhà ở, cư trú, thường trú
resist	chống lại, phản đổi, kháng cự
resistance	sự chống lại, sự phản đối, sự kháng cự
resolve	quyết định, kiên quyết (làm gì); giải quyết (vấn đề, khó khăn..)
resort	kế sách, phương kế
resource	tài nguyên; kế sách, thủ đoạn
respect	sự kính trọng, sự lễ phép; tôn trọng, kính trọng, khâm phục
respond	hưởng ứng, phản ứng lại, trả lời
response	sự trả lời, câu trả lời, sự hưởng ứng, sự đáp lại
responsibility	trách nhiệm, sự chịu trách nhiệm
responsible	chịu trách nhiệm về, chịu trách nhiệm trước ai, gì
rest	sự nghỉ ngơi, lúc nghỉ; nghỉ, nghỉ ngơi
the rest	vật, cái còn lại, những người, cái khác
restaurant	nhà hàng ăn, hiệu ăn
restore	hoàn lại, trả lại; sửa chữa lại, phục hồi lại
restrict	hạn chế, giới hạn
restricted	bị hạn chế, có giới hạn; vùng cấm
restriction	sự hạn chế, sự giới hạn
result	kết quả; bởi, do.. mà ra, kết quả là...
retain	giữ lại, nhớ được
retire	rời bỏ, rút về; thôi, nghỉ việc, về hưu
retired	ẩn dật, hẻo lánh, đã về hưu, đã nghỉ việc
retirement	sự ẩn dật, nơi hẻo lánh, sự về hưu, sự nghỉ việc
return	trở lại, trở về; sự trở lại, sự trở về
reveal	bộc lộ, biểu lộ, tiết lộ; phát hiện, khám phá
reverse	đảo, ngược lại; điều trái ngược, mặt trái
review	sự xem lại, sự xét lại; làm lại, xem xét lại
revise	đọc lại, xem lại, sửa lại, ôn lại
revision	sự xem lại, sự đọc lại, sự sửa lại, sự ôn lại
revolution	cuộc cách mạng
reward	sự thưởng, phần thưởng; thưởng, thưởng công
rhythm	nhịp điệu
rice	gạo, thóc, cơm; cây lúa
rich	giàu, giàu có
rid	giải thoát (get rid of : tống khứ)
ride	đi, cưỡi (ngựa); sự đi, đường đi
riding	môn thể thao cưỡi ngựa, sự đi xe (bus, điện, xe đạp)
rider	người cưỡi ngựa, người đi xe đạp
ridiculous	buồn cười, lố bịch, lố lăng
right	thẳng, phải, tốt; ngay, đúng; điều thiện, điều phải, tốt, bên phải
rightly	đúng, phải, có lý
ring	chiếc nhẫn, đeo nhẫn cho ai
rise	sự lên, sự tăng lương, thăng cấp; dậy, đứng lên, mọc (mặt trời), thành đạt
risk	sự liều, mạo hiểm; liều
rival	đối thủ, địch thủ; đối địch, cạnh tranh
river	sông
road	con đường, đường phốrob v. /rɔb/ cướp, lấy trộm
rock	đá
role	vai (diễn), vai trò
roll	cuốn, cuộn, sự lăn tròn; lăn, cuốn, quấn, cuộn
romantic	lãng mạn
roof	mái nhà, nóc
room	phòng, buồng
root	gốc, rễ
per	cho mỗi
percent	phần trăm
perfect	hoàn hảo
perfectly	một cách hoàn hảo
perform	biểu diễn; làm, thực hiện
performance	sự làm, sự thực hiện, sự thi hành, sự biểu diễn
performer	người biểu diễn, người trình diễn
perhaps	có thể, có lẽ
period	kỳ, thời kỳ, thời gian; thời đại
permanent	lâu dài, vĩnh cửu, thường xuyên
permanently	cách thường xuyên, vĩnh cửu
permission	sự cho phép, giấy phép
permit	cho phép, cho cơ hội
person	con người, người
personal	cá nhân, tư, riêng tư
personally	đích thân, bản thân, về phần rôi, đối với tôi
personality	nhân cách, tính cách; nhân phẩm, cá tính
persuade	thuyết phục
pet	cơn nóng giận; vật cưng, người được yêu thích
petrol	xăng dầu
phase	tuần trăng; giai đoạn, thời kỳ
philosophy	triết học, triết lý
photocopy	bản sao chụp; sao chụp
photograph	ảnh, bức ảnh; chụp ảnh
photographer	thợ chụp ảnh, nhà nhiếp ảnh
photograph	thuật chụp ảnh, nghề nhiếp ảnh
phrase	câu; thành ngữ, cụm từ
physical	vật chất; (thuộc) cơ thể, thân thể
physically	về thân thể, theo luật tự nhiên
physics	vật lý học
piano	đàn pianô, dương cầm
pick	cuốc (đất); đào, khoét (lỗ)
picture	bức vẽ, bức họa
piece	mảnh, mẩu; đồng tiền
pig	con lợn
pile	cọc, chồng, đống, pin; đóng cọc, chất chồng
pill	viên thuốc
pilot	phi công
pin	đinh ghim; ghim., kẹp
pink	màu hồng; hoa cẩm chướng, tình trạng tốt, hoàn hảo
pint	Panh (đơn vị (đo lường) ở Anh bằng 0, 58 lít; ở Mỹ bằng 0, 473 lít); panh, lít (bia, sữa) a pint of beer + một panh bia
pipe	ống dẫn (khí, nước...)
pitch	sân (chơi các môn thể thao); đầu hắc ín
pity	lòng thương hại,  điều đáng tiếc, đáng thương
place	nơi, địa điểm; quảng trường
take place	xảy ra, được cử hành, được tổ chức
plain	ngay thẳng, đơn giản, chất phác
plan	bản đồ, kế hoạch; vẽ bản đồ, lập kế hoạch, dự kiến
planning	sự lập kế hoạch, sự quy hoạch
plane	mặt phẳng, mặt bằng
planet	hành tinh
plant	thực vật, sự mọc lên; trồng, gieo
plastic	chất dẻo, làm bằng chất dẻo
plate	bản, tấm kim loại
platform	nền, bục, bệ; thềm, sân ga
play	chơi, đánh; sự vui chơi, trò chơi, trận đấu
player	người chơi 1 trò chơi nào đó (nhạc cụ)
pleasant	vui vẻ, dễ thương; dịu dàng, thân mật
pleasantly	vui vẻ, dễ thương; thân mật
unpleasant	không dễ chịu, khó chịu, khó ưa
please	làm vui lòng, vừa lòng, mong... vui lòng, xin mời
pleasing	mang lại niềm vui thích; dễ chịu
pleased	hài lòng
pleasure	niềm vui thích, điều thích thú, điều thú vị; ý muốn, ý thích
plenty	nhiều (s.k.lượng); chỉ sự thừa; sự sung túc, sự p.phú
plot	mảnh đất nhở, sơ đồ, đồ thị, đồ án; vẽ sơ đồ, dựng đồ án
plug	nút (thùng, chậu, bồn...)
plus	cộng với (số, người...); dấu cộng; cộng, thêm vào
p.m	quá trưa, chiều, tối
pocket	túi (quần áo, trong xe hơi), túi tiền
poem	bài thơ
poetry	thi ca; chất thơ
point	mũi nhọn, điểm; vót, làm nhọn, chấm (câu..)
pointed	nhọn, có đầu nhọn
poison	chất độc, thuốc độc; đánh thuốc độc, tẩm thuốc độc
poisonous	độc, có chất độc, gây chết, bệnh
pole	cực (nam châm, trái đất...)
police	cảnh sát, công an
policy	chính sách
polish	nước bóng, nước láng; đánh bóng, làm cho láng
obey	vâng lời, tuân theo, tuân lệnh
object	vật, vật thể; phản đối, chống lại
objective	mục tiêu, mục đích; (thuộc) mục tiêu, khách quan
observation	sự quan sát, sự theo dõi
observe	quan sát, theo dõi
obtain	đạt được, giành được
obvious	rõ ràng, rành mạch, hiển nhiên
obviously	một cách rõ ràng, có thể thấy được
occasion	dịp, cơ hội
occasionally	thỉnh thoảng, đôi khi
occupy	giữ, chiếm lĩnh, chiếm giữ
occupied	đang sử dụng, đầy (người)
occur	xảy ra, xảy đến, xuất hiện
ocean	đại dương
October	tháng 10
odd	kỳ quặc, kỳ cục, lẻ (số)
oddly	kỳ quặc, kỳ cục, lẻ (số)
of	của
off	tắt; khỏi, cách, rời
offence	sự vi phạm, sự phạm tội
offend	xúc phạm, làm bực mình, làm khó chịu
offensive	sự tấn công, cuộc tấn công
offer	biếu, tặng, cho; sự trả giá
office	cơ quan, văn phòng, bộ
officer	viên chức, cảnh sát, sĩ quan
official	chính quyền, văn phòng; viên chức, công chức
officially	một cách trịnh trọng, một cách chính thức
often	thường, hay, luôn
oh	chao, ôi chao, chà, này..
oil	dầu
OK	đồng ý, tán thành
old	già
old-fashioned	lỗi thời
on	trên, ở trên; tiếp tục, tiếp diễn
once	một lần;  khi mà, ngay khi, một khi
one	một; một người, một vật nào đó
each other	nhau, lẫn nhau
onion	củ hành
only	chỉ có 1, duy nhất; chỉ, mới
onto	về phía trên, lên trên
open	mở, ngỏ; mở, bắt đầu, khai mạc
openly	công khai, thẳng thắn
opening	khe hở, lỗ; sự bắt đầu, sự khai mạc, lễ khánh thành
operate	hoạt động, điều khiển
operation	sự hoạt động, quá trình hoạt động
opinion	ý kiến, quan điểm
opponent	địch thủ, đối thủ, kẻ thù
opportunity	cơ hội, thời cơ
oppose	đối kháng, đối chọi, đối lập; chống đối, phản đối
mile	dặm (đo lường)
military	quân đội, quân sự
milk	sữa
milligram	mi-li-gam
millimetre	mi-li-met
mind	tâm trí, tinh thần, trí tuệ; chú ý, để ý, chăm sóc, quan tâm
mine	của tôi
mineral	công nhân, thợ mỏ; khoáng
minimum	tối thiểu; số lượng tối thiểu, mức tối thiểu
minister	bộ trưởng
ministry	bộ
minor	nhỏ hơn, thứ yếu, không quan trọng
minority	phần ít, thiểu số
minute	phút
mirror	gương
miss	lỡ, trượt; sự trượt, sự thiếu vắng
Miss	cô gái, thiếu nữ
missing	vắng, thiếu, thất lạc
mistake	lỗi, sai lầm, lỗi lầm; phạm lỗi, phạm sai lầm
mistaken	sai lầm, hiểu lầm
mix	pha, trộn lẫn; sự pha trộn
mixed	lẫn lộn, pha trộn
mixture	sự pha trộn, sự hỗn hợp
mobile	chuyển động, di động
mobile phone	điện thoại đi động
mode	mẫu, kiểu mẫu
modern	hiện đại, tân tiến
mum	mẹ
moment	chốc, lát
Monday	thứ 2
money	tiền
monitor	lớp trưởng, màn hình máy tính; nghe, ghi phát thanh, giám sát
month	tháng
mood	lối, thức, điệu
moon	mặt trăng
moral	đạo đức, luân lý, phẩm hạnh; có đạo đức
morally	có đạo đức
more	hơn, nhiều hơn
moreover	hơn nữa, ngoài ra, vả lại
morning	buổi sáng
most	lớn nhất, nhiều nhất; nhất, hơn cả
mostly	hầu hết, chủ yếu là
mother	mẹ
motion	sự chuyển động, sụ di động
motor	động cơ mô tô
motorcycle	xe mô tô
mount	leo, trèo; núi
mountain	núi
mouse	chuột
mouth	miệng
move	di chuyển, chuyển động; sự di chuyển, sự chuyển động
moving	động, hoạt động
movement	sự chuyển động, sự hoạt động; cử động, động tác
movie	phim xi nê
movie theater	rạp chiếu phim
much	nhiều, lắm
mud	bùn
multiply	nhân lên, làm tăng lên nhiều lần; sinh sôi nảy nở
mum	mẹ
murder	tội giết người, tội ám sát; giết người, ám sát
muscle	cơ, bắp thịt
museum	bảo tàng
music	nhạc, âm nhạc
musical	nhạc, âm nhạc; du dương, êm ái
musician	nhạc sĩ
must	phải, cần, nên làm
my	của tôi
myself	tự tôi, chính tôi
mysteriou	thần bí, huyền bí, khó hiểu
mystery	điều huyền bí, điều thần bí
nail	móng (tay, chân) móng vuốt
naked	trần, khỏa thân, trơ trụi
name	tên; đặt tên, gọi tên
narrow	hẹp, chật hẹp
nation	dân tộc, quốc gia
national	quốc gia, dân tộc
natural	tự nhiên, thiên nhiên
naturally	vốn, tự nhiên, đương nhiên
nature	tự nhiên, thiên nhiên
navy	hải quân
near	gần, cận; ở gần
nearby	gần
nearly	gần, sắp, suýt
neat	sạch, ngăn nắp; rành mạch
neatly	gọn gàng, ngăn nắp
necessary	cần, cần thiết, thiết yếu
necessarily	tất yếu, nhất thiết
unnecessary	không cần thiết, không mong muốn
neck	cổ
need	cần, đòi hỏi; sự cần
needle	cái kim, mũi nhọn
negative	phủ định
neighbour	hàng xóm
neighbourhood	hàng xóm, làng giềng
neither	không này mà cũng không kia
nephew	cháu trai (con anh, chị, em)
nerve	khí lực, thần kinh, can đảm
nervous	hoảng sợ, dễ bị kích thích, hay lo lắng
nervously	bồn chồn, lo lắng
nest	tổ, ổ; làm tổ
net	lưới, mạng
network	mạng lưới, hệ thống
never	không bao giờ, không khi nào
nevertheless	tuy nhiên, tuy thế mà
new	mới, mới mẻ, mới lạ
newly	mới
news	tin, tin tức
newspaper	báo
next	sát, gần, bên cạnh; lần sau, tiếp nữa
next	gần
nice	đẹp, thú vị, dễ chịu
nicely	thú vị, dễ chịu
niece	cháu gái
night	đêm, tối
no	không
nobody	không ai, không người nào
noise	tiếng ồn, sự huyên náo
noisy	ồn ào, huyên náo
noisily	ồn ào, huyên náo
none	không ai, không người, vật gì
nonsense	lời nói vô lý, vô nghĩa
nor	cũng không
normal	thường, bình thường; tình trạng bình thường
normally	thông thường, như thường lệ
leg	chân (người, thú, bàn...)
legal	hợp pháp
legally	hợp pháp
lemon	quả chanh
lend	cho vay, cho mượn
length	chiều dài, độ dài
less	nhỏ bé, ít hơn; số lượng ít hơn
lesson	bài học
let	cho phép, để cho
letter	thư; chữ cái, mẫu tự
level	trình độ, cấp, vị trí; bằng, ngang bằng
library	thư viện
licence	bằng, chứng chỉ, bằng cử nhân; sự cho phép
license	cấp chứng chỉ, cấp bằng, cho phép
lid	nắp, vung (xoong, nồi..); mi mắt (eyelid)
lie	nói dối; lời nói dối, sự dối trá
life	đời, sự sống
lift	giơ lên, nhấc lên; sự nâng, sự nhấc lên
light	ánh sáng; nhẹ, nhẹ nhàng; đốt, thắp sáng
lightly	nhẹ nhàng
like	giống như; thích; như
unlike	khác, không giống
likely	có thể đúng, có thể xảy ra, có khả năng; có thể, chắc vậy
unlikely	không thể xảy ra, không chắc xảy ra
limit	giới hạn,  ranh giới; giới hạn, hạn chế
limited	hạn chế, có giới hạn
line	dây, đường, tuyến
link	mắt xích, mối liên lạc; liên kết, kết nối
lip	môi
liquid	chất lỏng; lỏng, êm ái, du dương, không vững
list	danh sách; ghi vào danh sách
listen	nghe, lắng nghe
literature	văn chương, văn học
litre	lít
little	nhỏ, bé, chút ít; không nhiều; một chút
a little	nhỏ, một ít
liv	sống, hoạt động
live	sống
living	sống, đang sống
lively	sống, sinh động
load	gánh nặng, vật nặng; chất, chở
unload	cất gánh nặng, dỡ hàng
loan	sự vay mượn
local	địa phương, bộ phận, cục bộ
locally	có tính chất địa phương, cục bộ
locat	xác định vị trí, định vị
located	định vị
location	vị trí, sự định vị
lock	khóa; khóa
logic	lô gic
introduction	sự giới thiệu, lời giới thiệu
invent	phát minh, sáng chế
invention	sự phát minh, sự sáng chế
invest	đầu tư
investigate	điều tra, nghiên cứu
investigation	sự điều tra, nghiên cứu
investment	sự đầu tư, vốn đầu tư
invitation	lời mời, sự mời
invite	mời
involve	bao gồm, bao hàm; thu hút, dồn tâm trí
involved in	để hết tâm trí vào
involvement	sự gồm, sự bao hàm; sự để, dồn hết tâm trí vào
iron	sắt; bọc sắt
irritate	làm phát cáu, chọc tức
irritating	làm phát cáu, chọc tức
irritated	tức giận, cáu tiết
island	hòn đảo
issue	sự phát ra, sự phát sinh; phát hành, đưa ra
it	cái đó, điều đó, con vật đó
its	của cái đó, của điều đó, của con vật đó; cái của điều đó, cái của con vật đó
item	tin tức; khoản.., món..., tiết mục
itself	chính cái đó, chính điều đó, chính con vật đó
jacket	áo vét
jam	mứt
January	tháng giêng
jealous	ghen,, ghen tị
jeans	quần bò, quần zin
jelly	thạch
jewellery	nữ trang, kim hoàn
job	việc, việc làm
join	gia nhập, tham gia; nối, chắp, ghép
joint	chung (giữa 2 người hoặc hơn); chỗ nối, đầu nối
jointly	cùng nhau, cùng chung
joke	trò cười, lời nói đùa; nói đùa, giễu cợt
journalist	nhà báo
journey	cuộc hành trình (đường bộ); quãng đường, chặng đường đi
joy	niềm vui, sự vui mừng
judge	xét xử, phân xử; quan tòa, thẩm phán
judgement	sự xét xử
juice	nước ép (rau, củ, quả)
July	tháng 7
jump	nhảy; sự nhảy, bước nhảy
June	tháng 6
junior	trẻ hơn, ít tuổi hơn; người ít tuổi hơn
just	đúng, vừa đủ; vừa mới, chỉ
justice	sự công bằng
justify	bào chữa, biện hộ
justified	hợp lý, được chứng minh là đúng
keen	sắc, bén
keen on	say mê, ưa thích
keep	giữ, giữ lại
key	chìa khóa, khóa, thuộc (khóa)
keyboard	bàn phím
kick	đá; cú đá
kid	con dê non
kill	giết, tiêu diệt
killing	sự giết chóc, sự tàn sát
kilogram	Kilôgam
kilometre	Kilômet
kind	loại, giống; tử tế, có lòng tốt
kindly	tử tế, tốt bụng
unkind	độc ác, tàn nhẫn
kindness	sự tử tế, lòng tốt
king	vua, quốc vương
kiss	hôn, cái hôn
kitchen	bếp
kilometre	Kilômet
knee	đầu gối
knife	con dao
knit	đan, thêu
knitted	được đan, được thêu
knitting	việc đan; hàng dệt kim
knock	đánh, đập; cú đánh
knot	cái nơ; điểm nút, điểm trung tâm
know	biết
unknown	không biết
knowledge	sự hiểu biết, tri thức
litre	lít
label	nhãn, mác; dán nhãn, ghi mác
laboratory	phòng thí nghiệm
labour	lao động; công việc
lack	sự thiếu; thiếu
lacking	ngu đần, ngây ngô
lady	người yêu, vợ, quý bà, tiểu thư
lake	hồ
lamp	đèn
land	đất, đất canh tác, đất đai
landscape	phong cảnh
lane	đường nhỏ (làng, hẻm phố)
hero	người anh hùng
herself	chính nó, chính cô ta, chính chị ta, chính bà ta
hesitate	ngập ngừng, do dự
hi	xin chào
hide	trốn, ẩn nấp; che giấu
high	cao, ở mức độ cao
highly	tốt, cao; hết sức, ở mức độ cao
highlight	làm nổi bật, nêu bật; chỗ nổi bật nhất, đẹp, sáng nhất
highway	đường quốc lộ
hill	đồi
him	nó, hắn, ông ấy, anh ấy
himself	chính nó, chính hắn, chính ông ta, chính anh ta
hip	hông
hire	thuê, cho thuê (nhà...); sự thuê, sự cho thuê
his	của nó, của hắn, của ông ấy, của anh ấy; cái của nó, cái của hắn, cái của ông ấy, cái của anh ấy
historical	lịch sử, thuộc lịch sử
history	lịch sử, sử học
hit	đánh, đấm, ném trúng; đòn, cú đấm
hobby	sở thích riêng
hold	cầm, nắm, giữ; sự cầm, sự nắm giữ
hole	lỗ, lỗ trống; hang
holiday	ngày lễ, ngày nghỉ
hollow	rỗng, trống rỗng
finance	tài chính; tài trợ, cấp vốn
financial	thuộc (tài chính)
find	tìm, tìm thấy
find out	khám phá, tìm ra
fine	tốt, giỏi
finely	đẹp đẽ, tế nhị, cao thượng
finger	ngón tay
finish	kết thúc, hoàn thành; sự kết thúc, phần cuối
finished	hoàn tất, hoàn thành
fire	lửa; đốt cháy
set fire to	đốt cháy cái gì
firm 	hãng, công ty; chắc, kiên quyết, vũng vàng, mạnh mẽ
firmly	vững chắc, kiên quyết
first	thứ nhất, đầu tiên, trước hết; người, vật đầu tiên, thứ nhất
at first	trực tiếp
fish	cá, món cá; câu cá, bắt cá
fishing	sự câu cá, sự đánh cá
fit	hợp, vừa; thích hợp, xứng đáng
fix	đóng, gắn, lắp; sửa chữa, sửa sang
fixed	đứng yên, bất động
flag	quốc kỳ
flame	ngọn lửa
flash	loé sáng, vụt sáng; ánh sáng lóe lên, đèn nháy
flat	bằng phẳng, bẹt, nhẵn; dãy phòng, căn phòng, mặt phẳng
flavour	vị, mùi; cho gia vị, làm tăng thêm mùi vị
flesh	thịt
flight	sự bỏ chạy, rút chạy; sự bay, chuyến bay
float	nổi, trôi, lơ lửng
flood	lụt, lũ lụtl; tràn đầy, tràn ngập
floor	sàn, tầng (nhà)
flour	bột, bột mỳ
flow	sự chảy; chảy
flower	hoa, bông, đóa, cây hoa
flu	bệnh cúm
fly	bay; sự bay, quãng đường bay
flying	biết bay; sự bay, chuyến bay
focus	tập trung; trung tâm, trọng tâm (n.bóng)
fold	gấp, vén, xắn; nếp gấp
folding	gấp lại được
follow	đi theo sau, theo, tiếp theo
following	tiếp theo, theo sau, sau đây; sau, tiếp theo
food	đồ ăn, thức, món ăn
foot	chân, bàn chân
football	bóng đá
for	cho, dành cho...
force	sức mạnh; ép buộc, cưỡng ép
forecast	sự dự đoán, dự báo;  dự đoán, dự báo
foreign	nước ngoài, từ nước ngoài, ở nước ngoài
forest	rừng
forever	mãi mãi
forget	quên
forgive	tha, tha thứ
fork	cái nĩa
form	hình thể, hình dạng, hình thức; làm thành, được tạo thành
formal	hình thức
formally	chính thức
former	trước, cũ, xưa, nguyên
formerly	trước đây, thuở xưa
formula	công thức, thể thức, cách thức
fortune	sự giàu có, sự thịnh vượng
forward	về tương lai, sau này
found	tìm, tìm thấy
foundation	sự thành lập, sự sáng lập; tổ chức
frame	cấu trúc, hệ thống; dàn xếp, bố trí
free	miễn phí, tự do, giải phóng, trả tự do
freely	tự do, thoải mái
freedom	sự tự do; nền tự do
freeze	đóng băng, đông lạnh
frozen	lạnh giá
frequent	thường xuyên
frequently	thường xuyên
fresh	tươi, tươi tắn
freshly	tươi mát, khỏe khoắn
Friday	thứ Sáu
fridge	tủ lạnh
friend	người bạn
make friends	kết bạn với
friendly	thân thiện, thân mật
unfriendly	không thân thiện, không có thiện cảm
friendship	tình bạn, tình hữu nghị
frighten	làm sợ, làm hoảng sợ
frightening	kinh khủng, khủng khiếp
frightened	hoảng sợ, khiếp sợ
from	từ
front	mặt; đằng trước, về phía trước
in front of	ở phía trước
fruit	quả, trái cây
fry	rán, chiên; thịt rán
fuel	chất đốt, nhiên liệu
full	đầy, đầy đủ
fully	đầy đủ, hoàn toàn
fun	sự vui đùa, sự vui thích; hài hước
make fun of	đùa cợt, chế giễu, chế nhạo
function	chức năng; họat động, chạy (máy)
fund	kho, quỹ; tài trợ, tiền bạc, để tiền vào công quỹ
fundamental	cơ bản, cơ sở, chủ yếu
funeral	lễ tang, đám  tang
funny	buồn cười, khôi hài
fur	bộ da lông thú
furniture	đồ đạc (trong nhà)
future	tương lai
gain	lợi, lợi ích; giành được, kiếm được, đạt tới
gallon	Galông 1gl =  4, 54 lít ở Anh, 3, 78 lít ở Mỹ
gamble	đánh bạc; cuộc đánh bạc
gambling	trò cờ bạc
game	trò chơi
gap	đèo, lỗ hổng, kẽ hở; chỗ trống
garage	nhà để ô tô
garbage	lòng, ruột (thú)
garden	vườn
gas	khí, hơi đốt
gasoline	dầu lửa, dầu hỏa, xăng
gate	cổng
gather	tập hợp; hái, lượm, thu thập
gear	cơ cấu, thiết bị, dụng cụ
general	chung, chung chung; tổng
generally	nói chung, đại thể
in general	nói chung, đại khái
generate	sinh, đẻ ra
generation	sự sinh ra, sự phát sinh ra; thế hệ, đời
generous	rộng lượng, khoan hồng, hào phóng
generously	rộng lượng, hào phóng
gentle	hiền lành, dịu dàng, nhẹ nhàng
gently	nhẹ nhàng, êm ái, dịu dàng
gentleman	người quý phái, người thượng lưu
genuine	thành thật, chân thật; xác thực
genuinely	thành thật, chân thật
geography	địa lý, khoa địa lý
get on	leo, trèo lên
get off	ra khỏi, thoát khỏi
giant	người khổng lồ, người phi thường; khổng lồ, phi thường
gift	quà tặng
girl	con gái
girlfriend	bạn gái, người yêu
give	cho, biếu, tặng
glad	vui lòng, sung sướng
glass	kính, thủy tinh, cái cốc, ly
glasses	kính đeo mắt
global	toàn cầu, toàn thể, toàn bộ
glove	bao tay, găng tay
glue	keo, hồ; gắn lại, dán bằng keo, hồ
gram	đậu xanh
go	đi
go down	đi xuống
go up	đi lên
be going to	sắp sửa, có ý định
god	thần, Chúa
deal	phân phát, phân phối; sự giao dịch, thỏa thuận mua bán
deal	giải quyết
dear	thân, thân yêu, thân mến; kính thưa, thưa
death	sự chết, cái chết
debate	cuộc tranh luận, cuộc tranh cãi; tranh luận, bàn cãi
debt	nợ
decade	thập kỷ, bộ mười, nhóm mười
decay	tình trạng suy tàn, suy sụp, tình trạng đổ nát
December	tháng mười hai, tháng Chạp
